algorithm,dataset,dimension,precision_avg,precision_stdev,recall_avg,recall_stdev,accuracy_avg,accuracy_stdev,f1_avg,f1_stdev,true_detected_avg,true_detected_stdev,true_total_avg,true_total_stdev,fake_detected_avg,fake_detected_stdev,fake_total_avg,fake_total_stdev,negative_space_coverage_avg,negative_space_coverage_stdev,time_to_build_avg,time_to_build_stdev,detectors_count_avg,detectors_count_stdev,time_to_infer_avg,time_to_infer_stdev,self_region_avg,self_region_stdev,stagnation
ga,fasttext,3D,0.9233812949640288,0.0,0.5992063492063492,0.0,0.7747432306255836,0.0,0.7267836919592298,0.0,213,,4284,,2567,,4284,,4088.1926259106367,,1660.633051700017,0.0,1475,0.0,44.46953349999967,0.0,0.056062539955286525,0.0,0
ga,roberta-base,1D,0.9885003520300399,0.0,0.9831932773109243,0.0,0.9858776844070962,0.0,0.9858396723229959,0.0,49,,4284,,4212,,4284,,29.636393745677196,,1411.8961129999952,0.0,175,0.0,3.6788661000027787,0.0,0.0005717375870576321,0.0,5
ga,roberta-base,2D,0.975223675154852,0.0,0.992296918767507,0.0,0.9835434173669467,0.0,0.9836862200624783,0.0,108,,4284,,4251,,4284,,441.6252750791548,,1774.5293370000145,0.0,350,0.0,7.1474043000198435,0.0,0.01342949500338069,0.0,5
ga,roberta-base,3D,0.9941075374416892,0.0,0.9451447245564892,0.0,0.9697712418300654,0.0,0.9690080172310638,0.0,24,,4284,,4049,,4284,,13058.128052419856,,5212.834014600026,0.0,225,0.0,4.998509199998807,0.0,0.043176232522286764,0.0,5
nsgaii,bert-base-cased,1D,0.8556962025316456,0.0,0.6311858076563959,0.0,0.7623716153127917,0.0,0.7264911337990327,0.0,456,,4284,,2704,,4284,,15.345801341092738,,1016.6270144000009,0.0,1475,0.0,41.454631500004325,0.0,0.00047587942515155384,0.0,0
nsgaii,bert-base-cased,2D,0.9044694643466393,0.0,0.6188141923436041,0.0,0.7767273576097106,0.0,0.7348579348579348,0.0,280,,4284,,2651,,4284,,231.49201596289328,,1364.6557288999902,0.0,1475,0.0,43.29728719999548,0.0,0.019760372698923515,0.0,0
nsgaii,bert-base-cased,3D,0.9389600602863603,0.0,0.5816993464052288,0.0,0.7719421101774043,0.0,0.7183626405304122,0.0,162,,4284,,2492,,4284,,1657.5612395408311,,1539.3755818000063,0.0,1475,0.0,44.58941300000879,0.0,0.060622704597690875,0.0,0
nsgaii,bert-base-cased,4D,0.9740389415876186,0.0,0.4554154995331466,0.0,0.7216386554621849,0.0,0.6206457770001591,0.0,52,,4284,,1951,,4284,,13178.589067688394,,1628.902300000016,0.0,1475,0.0,49.04588049999438,0.0,0.06765323697107839,0.0,0
nsgaii,distilbert-base-cased,1D,0.9375159398112727,0.0,0.8580765639589168,0.0,0.9004435107376284,0.0,0.8960390006093845,0.0,245,,4284,,3676,,4284,,25.33895962094539,,1242.5893779000035,0.0,1025,0.0,25.304222300008405,0.0,0.0006243904698974975,0.0,5
nsgaii,distilbert-base-cased,2D,0.9340260995650073,0.0,0.9021942110177404,0.0,0.919234360410831,0.0,0.9178342436475896,0.0,273,,4284,,3865,,4284,,285.6934272318312,,1415.435692900006,0.0,1475,0.0,34.14385610001045,0.0,0.01710500906637924,0.0,0
nsgaii,distilbert-base-cased,3D,0.9520435967302452,0.0,0.8155929038281979,0.0,0.8872549019607843,0.0,0.8785516721146592,0.0,176,,4284,,3494,,4284,,3129.291958364483,,1749.7524869999907,0.0,1475,0.0,37.109483799984446,0.0,0.04291434771411653,0.0,0
nsgaii,distilbert-base-cased,4D,0.9652650822669104,0.0,0.7394957983193278,0.0,0.8564425770308123,0.0,0.837430610626487,0.0,114,,4284,,3168,,4284,,30939.265027573296,,1986.8551848999923,0.0,1475,0.0,41.86058159999084,0.0,0.0587022310258824,0.0,0
nsgaii,fasttext,1D,0.9092878418629841,0.0,0.7838468720821662,0.0,0.8528244631185807,0.0,0.8419205214993105,0.0,335,,4284,,3358,,4284,,19.79489512777485,,1171.2390324000153,0.0,1425,0.0,36.52028860000428,0.0,0.0005133940594723874,0.0,2
nsgaii,fasttext,2D,0.92906852248394,0.0,0.8102240896358543,0.0,0.8741830065359477,0.0,0.8655860349127182,0.0,265,,4284,,3471,,4284,,236.84546332754013,,1375.2783823999926,0.0,1450,0.0,37.487832200014964,0.0,0.018330462451780535,0.0,1
nsgaii,fasttext,3D,0.9277669902912621,0.0,0.55765639589169,0.0,0.7571195144724556,0.0,0.6966030033532584,0.0,186,,4284,,2389,,4284,,3321.8711765910884,,1548.8173860000097,0.0,1475,0.0,45.98261219999404,0.0,0.056062539955286525,0.0,0
nsgaii,fasttext,4D,0.943058568329718,0.0,0.40592903828197946,0.0,0.6907096171802054,0.0,0.5675587467362925,0.0,105,,4284,,1739,,4284,,31492.481428545034,,1846.4262321999995,0.0,1475,0.0,53.11174230003962,0.0,0.0880819260845385,0.0,0
nsgaii,roberta-base,1D,0.9868883165535004,0.0,0.9838935574229691,0.0,0.9854108309990663,0.0,0.9853886616014026,0.0,56,,4284,,4215,,4284,,29.48340838371041,,1624.1646237999958,0.0,225,0.0,4.576127899985295,0.0,0.0005717375870576321,0.0,5
nsgaii,roberta-base,2D,0.9873328641801549,0.0,0.9824929971988795,0.0,0.9849439775910365,0.0,0.9849069849069848,0.0,54,,4284,,4209,,4284,,354.68394741448196,,1604.475033499999,0.0,175,0.0,3.8018284999998286,0.0,0.01342949500338069,0.0,5
nsgaii,roberta-base,3D,0.9896931927133269,0.0,0.9638188608776844,0.0,0.976890756302521,0.0,0.9765846736045412,0.0,43,,4284,,4129,,4284,,8326.514974698879,,3751.085804000031,0.0,325,0.0,7.224210899963509,0.0,0.043176232522286764,0.0,5
nsgaii,roberta-base,4D,0.9901415571284126,0.0,0.9143323996265172,0.0,0.9526143790849673,0.0,0.9507281553398058,0.0,39,,4284,,3917,,4284,,82016.80229946566,,2796.5007411999977,0.0,750,0.0,16.7864622999914,0.0,0.07248393421367429,0.0,5
