algorithm,dataset,dimension,precision_avg,precision_stdev,recall_avg,recall_stdev,accuracy_avg,accuracy_stdev,f1_avg,f1_stdev,true_detected_avg,true_detected_stdev,true_total_avg,true_total_stdev,fake_detected_avg,fake_detected_stdev,fake_total_avg,fake_total_stdev,negative_space_coverage_avg,negative_space_coverage_stdev,time_to_build_avg,time_to_build_stdev,detectors_count_avg,detectors_count_stdev,time_to_infer_avg,time_to_infer_stdev,self_region_avg,self_region_stdev,stagnation
ga,roberta-base,1D,0.987239719921627,0.0027577624028360496,0.998755057578587,0.00024108206325598527,0.9929193899782135,0.0012968668938686955,0.9929620976848758,0.0012773306723237174,55.333333333333336,,4284,,4278.666666666667,,4284,,101.57992811731305,,274.57195986666676,54.51268510172146,66.66666666666667,25.81988897471611,2.009016366666401,0.7662481284627077,0.0009984610859861038,0.0,5
ga,roberta-base,2D,0.9776225427403403,0.002383855067580162,0.9759570494864612,0.007966658826405777,0.9768129474011826,0.004915650855052606,0.9767807298425947,0.004990930160128133,95.66666666666667,,4284,,4181,,4284,,9085.142971488876,,1426.7225990333343,130.7908583193371,250,38.72983346207417,5.91677753333109,1.007028148211283,0.018108963190113,0.0,5
ga,roberta-base,3D,0.9754821137969195,0.002189911457428306,0.9246031746031746,0.016693518530484786,0.9506691565515095,0.0074582175904312695,0.9492847949518441,0.008180819424362015,99.66666666666667,,4284,,3961,,4284,,501429.9361436153,,24289.04997283335,11117.836192424535,408.3333333333333,131.02162671355697,7.297517799995451,2.2716090011696477,0.03755722234939759,0.0,5
ga,roberta-base,4D,0.9831569113272216,0.002092669928784643,0.9063958916900093,0.017903082556050182,0.9454170557111733,0.007898197570868938,0.9431238281865554,0.008869842236529812,66.66666666666667,,4284,,3883,,4284,,23450573.452552922,,27717.75336746666,26820.44867076876,308.3333333333333,158.6400537905439,5.696253200022814,2.579005454434153,0.03986512741613015,0.0,5
nsgaii,bert-base-cased,1D,0.925776589384419,0.0029741841985607025,0.8190164954870837,0.0007332224705502462,0.8766728913787737,0.001594607962334199,0.8691287689431711,0.0015333130884787956,281.3333333333333,,4284,,3508.6666666666665,,4284,,40.06290373689135,,6363.768396433334,652.4386690011916,1366.6666666666667,34.15650255319866,47.66471913333377,4.457322413006312,0.0011762809237403362,0.0,5
nsgaii,bert-base-cased,2D,0.8943496803426317,0.004064977884928849,0.8454715219421102,0.004075285311446334,0.8727824463118581,0.0012699785722442012,0.8692096527402244,0.0012823486489697028,428,,4284,,3622,,4284,,758.0295834618506,,12179.550414466667,1095.1156495882983,2100,168.81943016134133,56.94077163333471,3.0374790454978524,0.025461932137048476,0.0,5
nsgaii,bert-base-cased,3D,0.9100070237043797,0.00675914464129377,0.7364612511671336,0.017078158752077167,0.8318549642079054,0.010669583720181883,0.8140457696028943,0.0131696948809913,311.6666666666667,,4284,,3155,,4284,,36362.9106261039,,21086.916316633342,341.17331892328207,3000,0.0,76.65781213332957,1.803573058766429,0.0730232644498156,0.0,0
nsgaii,bert-base-cased,4D,0.9272028134938375,0.0023474659452403434,0.5065359477124183,0.007244505972463401,0.7333877995642701,0.0038742270114226823,0.6551366450349836,0.006512814431407275,170.33333333333334,,4284,,2170,,4284,,281645.1087938086,,19304.0936697,402.154750724566,2983.3333333333335,25.81988897471611,84.52249120000245,1.1057142976493175,0.07325451668655299,0.0,0.6666666666666666
nsgaii,distilbert-base-cased,1D,0.964236263206176,0.005617342101202703,0.9008714596949892,0.003879848625520664,0.9337068160597572,0.0013038506109961617,0.9314584810336975,0.0011526882542996417,143.33333333333334,,4284,,3859.3333333333335,,4284,,46.06057800642031,,1015.6177487666719,143.58662667843677,416.6666666666667,46.54746681256314,14.71161803335417,2.0702615581834087,0.0013251368642026274,0.0,5
nsgaii,distilbert-base-cased,2D,0.9263565153523897,0.010308701245244975,0.8944911297852474,0.01484564475395092,0.9115701836290071,0.0025620286655712345,0.9100039417779697,0.003433274232324384,305.6666666666667,,4284,,3832,,4284,,1615.3561032086952,,4215.101407566667,1902.5917324278173,891.6666666666666,220.60522810365728,28.042807666666704,6.276695285101891,0.02268006840423288,0.0,5
